20220130T,35.0,35.0,35.0,35.0,0
20221020T,0.0,0.0,0.0,0.0,0
20221129T,-12.0,-12.0,-12.0,-12.0,0
20221130T,-17.0,-17.0,-17.0,-17.0,0
20221201T,-18.0,-18.0,-18.0,-18.0,0
20221221T,-16.0,-16.0,-16.0,-16.0,0
20230206T,-3.0,-3.0,-3.0,-3.0,0
20230216T,-2.0,-2.0,-2.0,-2.0,0
20230217T,6.0,6.0,6.0,6.0,0
20230223T,10.0,10.0,10.0,10.0,0
20230224T,12.0,12.0,12.0,12.0,0
20230225T,7.0,7.0,7.0,7.0,0
20230321T,-30.0,-30.0,-30.0,-30.0,0
20230413T,-40.0,-40.0,-40.0,-40.0,0
20230510T,7.0,7.0,7.0,7.0,0
20230515T,11.0,11.0,11.0,11.0,0
20230518T,11.0,11.0,11.0,11.0,0
20230519T,10.0,10.0,10.0,10.0,0
20230522T,8.0,8.0,8.0,8.0,0
20230524T,15.0,15.0,15.0,15.0,0
20230526T,19.0,19.0,19.0,19.0,0
20230530T,19.0,19.0,19.0,19.0,0
20230601T,10.0,10.0,10.0,10.0,0
20230605T,18.0,18.0,18.0,18.0,0
20230607T,14.0,14.0,14.0,14.0,0
20230608T,0.0,0.0,0.0,0.0,0
20230615T,-5.0,-5.0,-5.0,-5.0,0
20230621T,-5.0,-5.0,-5.0,-5.0,0
20230705T,-1.0,-1.0,-1.0,-1.0,0
20230711T,-23.0,-23.0,-23.0,-23.0,0
20230712T,-29.0,-29.0,-29.0,-29.0,0
20230718T,-30.0,-30.0,-30.0,-30.0,0
20230724T,-16.0,-16.0,-16.0,-16.0,0
20230801T,5.0,5.0,5.0,5.0,0
20230804T,8.0,8.0,8.0,8.0,0
20230807T,0.0,0.0,0.0,0.0,0
20230814T,11.0,11.0,11.0,11.0,0
20230822T,12.0,12.0,12.0,12.0,0
20230828T,18.0,18.0,18.0,18.0,0
20230829T,7.0,7.0,7.0,7.0,0
20230905T,28.0,28.0,28.0,28.0,0
20230908T,26.0,26.0,26.0,26.0,0
20230911T,23.0,23.0,23.0,23.0,0
20230913T,25.0,25.0,25.0,25.0,0
20230915T,35.0,35.0,35.0,35.0,0
20230918T,23.0,23.0,23.0,23.0,0
20230920T,23.0,23.0,23.0,23.0,0
20230921T,30.0,30.0,30.0,30.0,0
20230925T,30.0,30.0,30.0,30.0,0
